k,image_id,cer_wiener,len_orig,len_wiener
0.001,0009059,0.1335,337,342
0.001,0009060,0.8730,252,76
0.001,0009061,0.6631,377,338
0.001,0009062,0.0498,201,206
0.001,0009063,0.1838,468,476
0.001,0009064,0.8963,627,81
0.001,0009065,0.4553,347,311
0.001,0009066,0.7938,325,155
0.001,0009067,1.0000,0,313
0.001,0009068,1.0000,0,158
0.001,0009069,0.1167,120,115
0.001,0010952,0.9130,253,30
0.001,0010953,0.7601,446,331
0.001,0010954,0.4533,214,187
0.001,0010955,1.0000,0,379
0.001,0010956,0.4532,267,281
0.001,0014623,0.2630,289,305
0.001,0014624,0.0538,186,186
0.001,0014625,0.3333,447,436
0.001,0014626,1.0000,135,0
0.001,0014627,0.8137,467,146
0.001,0014628,0.9241,145,15
0.001,0014629,0.1034,203,203
0.001,0014630,0.1050,238,232
0.001,0014631,0.8720,289,56
0.001,0014632,1.0000,0,87
0.001,0014633,0.9216,102,9
0.001,0014634,0.8912,432,114
0.001,0014635,0.8596,520,126
0.001,0014636,0.8182,341,127
0.001,0014637,0.1241,572,540
0.001,0014638,0.2026,232,241
0.001,0014640,1.0000,0,393
0.001,0018784,0.6762,105,54
0.001,0018785,0.4603,189,194
0.001,0018786,0.0833,48,49
0.001,0018787,0.7275,345,213
0.001,0018788,0.5248,343,328
0.001,0018789,0.0449,89,88
0.001,0018790,0.8378,37,50
0.001,0018791,0.6129,341,309
0.001,0018792,0.5981,311,320
0.001,0018793,0.1008,387,385
0.001,0018794,0.1461,178,195
0.001,0018795,0.8598,371,386
0.001,0018796,0.7159,345,344
0.001,0018797,0.8280,314,321
0.001,0018798,0.3816,152,163
0.001,0018799,0.1009,109,116
0.001,0018800,0.8019,424,158
0.001,0018801,0.2277,448,500
0.001,0018802,1.0000,0,43
0.001,0018803,0.8909,55,12
0.001,0018804,0.7835,97,63
0.001,0018805,0.8465,202,61
0.001,0018806,0.1378,254,273
0.001,0018807,0.8297,229,94
0.001,0018808,0.0769,13,13
0.001,0018809,0.0736,231,227
0.001,0018810,0.1915,188,202
0.001,0018811,0.7674,172,94
0.001,0018812,0.4407,236,247
0.001,0018813,0.6471,68,37
0.001,0018814,0.3026,466,462
0.001,0018815,0.8162,185,79
0.001,0018816,0.8080,953,343
0.001,0018817,0.6250,64,65
0.001,0018818,0.7838,111,58
0.001,0018819,0.2158,482,422
0.001,0018820,0.3571,238,227
0.001,0018821,0.1801,211,219
0.001,0018822,0.2072,444,442
0.001,0018823,0.3466,251,256
0.001,0018824,0.1341,343,335
0.001,0018825,0.6394,208,177
0.001,0018826,0.5198,454,308
0.001,0018827,0.0398,201,203
0.001,0018828,0.2063,543,512
0.001,0018829,0.0994,513,531
0.001,0018830,0.7692,377,264
0.001,0018831,0.7172,297,217
0.001,0018832,0.8724,243,43
0.001,0018833,0.8275,284,98
0.001,0018834,0.3263,331,314
0.001,0018835,0.7204,279,142
0.001,0018836,0.5663,362,207
0.001,0018837,0.1174,511,506
0.001,0018838,0.3394,554,485
0.001,0018839,0.6899,487,317
0.001,0018840,0.8095,231,125
0.001,0018841,0.0706,326,331
0.001,0018842,0.8292,445,125
0.001,0018843,0.4101,378,302
0.001,0018844,0.9344,457,52
0.001,0018845,0.6620,213,136
0.001,0018846,1.0000,0,29
0.001,0018847,0.7362,398,333
0.001,0018848,0.0955,199,202
0.001,0018849,0.3137,306,318
0.001,0018850,0.7551,294,194
0.001,0018851,0.8828,418,66
0.001,0018852,0.8401,269,89
0.001,0018853,0.1353,303,306
0.001,0018854,1.0400,75,104
0.001,0018855,0.7684,272,121
0.001,0018856,0.1161,448,477
0.001,0018857,0.6780,382,251
0.001,0018858,0.5608,378,400
0.001,0018859,0.7204,211,148
0.001,0018860,0.2572,276,282
0.001,0018861,0.7083,168,156
0.001,0018862,0.2241,473,488
0.001,0018863,0.5414,157,180
0.001,0018864,0.8435,230,69
0.001,0018865,0.8177,406,147
0.001,0018866,0.8354,79,77
0.001,0018867,0.5083,120,119
0.001,0018868,0.3032,310,299
0.001,0018869,0.7213,567,494
0.001,0018870,0.8297,458,124
0.001,0018871,0.8327,251,103
0.001,0018872,0.7994,334,150
0.001,0018873,0.2320,388,424
0.001,0018874,0.4420,224,232
0.001,0018875,0.7612,649,421
0.001,0018876,0.4342,486,478
0.001,0018877,0.8444,45,14
0.001,0018878,0.6404,114,91
0.001,0018879,0.7708,336,379
0.001,0018880,0.6310,271,227
0.001,0018881,0.6927,179,143
0.001,0018882,0.2907,227,253
0.001,0018883,0.7261,376,193
0.001,0018884,0.8298,47,45
0.001,0018885,1.0000,12,4
0.001,0018886,0.2085,355,371
0.001,0018887,0.2353,289,297
0.001,0018888,0.1325,166,171
0.001,0018889,0.2616,237,245
0.001,0018890,0.3377,308,295
0.001,0018891,0.8311,379,112
0.001,0018892,0.7541,484,303
0.001,0018893,0.0870,253,256
0.001,0018894,0.7876,193,128
0.001,0018895,0.2460,126,115
0.001,0018896,1.0000,142,0
0.001,0018897,1.0000,67,0
0.001,0018898,0.9037,322,44
0.001,0018899,0.4000,315,276
0.001,0018900,0.8193,476,210
0.001,0018901,0.2105,285,293
0.001,0018902,0.5174,172,153
0.001,0018903,0.6641,128,123
0.001,0018904,0.1830,153,168
0.001,0018905,0.6794,131,99
0.001,0018906,0.8868,106,19
0.001,0018907,0.6059,170,168
0.001,0018908,0.1204,432,441
0.001,0018909,0.2204,363,340
0.001,0018910,0.8768,284,69
0.001,0018911,0.9485,621,36
0.001,0018912,0.4721,269,231
0.001,0018913,5.0000,1,6
0.001,0018914,0.4950,202,183
0.001,0018915,0.8609,302,93
0.001,0018916,0.6351,422,310
0.001,0018917,0.1908,173,190
0.001,0018918,0.5057,352,250
0.001,0018919,0.6511,364,196
0.001,0018920,0.2753,178,164
0.001,0018921,0.8304,112,170
0.001,0018922,0.7698,139,112
0.001,0018923,0.6226,265,219
0.001,0018924,0.2011,363,395
0.001,0018925,0.1556,347,368
0.001,0018926,0.2843,306,284
0.001,0018927,0.2536,347,354
0.001,0018928,0.8177,373,230
0.001,0018929,0.2365,296,319
0.001,0018930,0.7866,492,454
0.001,0018931,0.3539,616,634
0.001,0018932,0.9087,230,225
0.001,0018933,0.7722,417,226
0.001,0018934,0.9696,230,12
0.001,0018935,4.0000,1,4
0.001,0018936,0.1344,372,360
0.001,0018937,0.3539,243,234
0.001,0018938,0.8310,290,291
0.001,0018939,0.8182,154,64
0.001,0018940,0.8593,135,29
0.001,0018941,0.4628,309,239
0.001,0018942,0.1869,107,112
0.001,0018943,0.2197,446,435
0.001,0018944,0.0957,585,569
0.001,0018945,0.8467,809,176
0.001,0018946,0.5653,375,333
0.001,0018947,0.7500,456,332
0.001,0018948,0.6693,508,452
0.001,0018949,0.6711,152,135
0.001,0018950,0.7669,369,265
0.005,0009059,0.1395,337,338
0.005,0009060,0.8214,252,133
0.005,0009061,0.6127,377,341
0.005,0009062,0.0398,201,205
0.005,0009063,0.0940,468,471
0.005,0009064,0.9426,627,45
0.005,0009065,0.5072,347,301
0.005,0009066,0.7723,325,156
0.005,0009067,1.0000,0,319
0.005,0009068,1.0000,0,182
0.005,0009069,0.1333,120,119
0.005,0010952,0.7549,253,123
0.005,0010953,0.7242,446,247
0.005,0010954,0.3785,214,223
0.005,0010955,1.0000,0,316
0.005,0010956,0.5693,267,337
0.005,0014623,0.2076,289,285
0.005,0014624,0.0161,186,186
0.005,0014625,0.1633,447,454
0.005,0014626,0.8593,135,45
0.005,0014627,0.8330,467,123
0.005,0014628,0.9724,145,4
0.005,0014629,0.1281,203,209
0.005,0014630,0.0840,238,235
0.005,0014631,0.9862,289,5
0.005,0014632,1.0000,0,86
0.005,0014633,1.0000,102,0
0.005,0014634,0.9236,432,67
0.005,0014635,0.9154,520,64
0.005,0014636,0.8328,341,148
0.005,0014637,0.1241,572,544
0.005,0014638,0.1078,232,244
0.005,0014640,1.0000,0,299
0.005,0018784,0.8381,105,45
0.005,0018785,0.4233,189,200
0.005,0018786,0.1042,48,49
0.005,0018787,0.6319,345,236
0.005,0018788,0.5773,343,327
0.005,0018789,0.0449,89,90
0.005,0018790,0.6216,37,35
0.005,0018791,0.5660,341,308
0.005,0018792,0.4405,311,310
0.005,0018793,0.0982,387,385
0.005,0018794,0.0393,178,182
0.005,0018795,0.7898,371,380
0.005,0018796,0.6638,345,376
0.005,0018797,0.8758,314,354
0.005,0018798,0.3158,152,135
0.005,0018799,0.0367,109,111
0.005,0018800,0.6887,424,289
0.005,0018801,0.1920,448,487
0.005,0018802,1.0000,0,30
0.005,0018803,0.8182,55,52
0.005,0018804,1.0722,97,130
0.005,0018805,0.5990,202,173
0.005,0018806,0.1142,254,274
0.005,0018807,0.7817,229,206
0.005,0018808,0.0000,13,13
0.005,0018809,0.0693,231,230
0.005,0018810,0.0745,188,188
0.005,0018811,0.7442,172,147
0.005,0018812,0.2839,236,261
0.005,0018813,0.3824,68,68
0.005,0018814,0.2639,466,480
0.005,0018815,0.8216,185,82
0.005,0018816,0.8898,953,152
0.005,0018817,0.7656,64,84
0.005,0018818,0.9459,111,11
0.005,0018819,0.1680,482,442
0.005,0018820,0.3109,238,232
0.005,0018821,0.2133,211,189
