noise_level,cer_blur,cer_wiener,cer_restormer,wiener_gain_vs_blur,restormer_gain_vs_blur,restormer_vs_wiener
n_00,0.3175,0.2166,0.1039,-0.1009,-0.2136,-0.1127
n_01,0.3052,0.2204,0.1018,-0.0848,-0.2034,-0.1186
n_02,0.3089,0.2154,0.1062,-0.0935,-0.2027,-0.1092
n_03,0.3087,0.2224,0.1108,-0.0863,-0.1979,-0.1116
n_04,0.3065,0.2300,0.1170,-0.0765,-0.1895,-0.1130
n_05,0.3087,0.2300,0.1242,-0.0787,-0.1845,-0.1058
n_06,0.3102,0.2342,0.1329,-0.0760,-0.1773,-0.1013
n_07,0.3121,0.2390,0.1409,-0.0731,-0.1712,-0.0981
n_08,0.3181,0.2464,0.1488,-0.0717,-0.1693,-0.0976
n_09,0.3183,0.2634,0.1607,-0.0549,-0.1576,-0.1027
n_10,0.3144,0.2727,0.1681,-0.0417,-0.1463,-0.1046
