noise_level,psnr_blur,psnr_wiener,psnr_restormer,wiener_gain_vs_blur,restormer_gain_vs_blur,restormer_vs_wiener
n_00,17.0421,18.2936,23.2232,+1.2515,+6.1811,+4.9296
n_01,17.0391,18.2491,23.2038,+1.2100,+6.1647,+4.9547
n_02,17.0324,18.1820,23.1277,+1.1496,+6.0953,+4.9457
n_03,17.0208,18.0924,23.0077,+1.0716,+5.9869,+4.9153
n_04,17.0052,17.9878,22.8637,+0.9826,+5.8585,+4.8759
n_05,16.9857,17.8722,22.7052,+0.8865,+5.7195,+4.8330
n_06,16.9624,17.7463,22.5348,+0.7839,+5.5724,+4.7885
n_07,16.9358,17.6123,22.3608,+0.6765,+5.4250,+4.7485
n_08,16.9061,17.4723,22.1827,+0.5662,+5.2766,+4.7104
n_09,16.8734,17.3266,22.0095,+0.4532,+5.1361,+4.6829
n_10,16.8380,17.1765,21.8345,+0.3385,+4.9965,+4.6580
n_11,16.8001,17.0229,21.6614,+0.2228,+4.8613,+4.6385
n_12,16.7599,16.8673,21.4879,+0.1074,+4.7280,+4.6206
n_13,16.7176,16.7095,21.3149,-0.0081,+4.5973,+4.6054
n_14,16.6734,16.5504,21.1459,-0.1230,+4.4725,+4.5955
n_15,16.6273,16.3909,20.9795,-0.2364,+4.3522,+4.5886
